Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
USO,1/3/2007 12:00:00 AM,411.36,411.36,393.04,395.2,401750,413.6889,416.1319,418.8258,396.4336,388.7942,31.4831,403.3735,423.62,443.8665,-4.8818,-1.8209
USO,1/4/2007 12:00:00 AM,388.32,391.2,377.76,378.8,557712,406.7111,410.572,411.8684,421.2587,373.952,25.5291,393.2804,420.88,448.4796,-7.498,-2.9563
USO,1/5/2007 12:00:00 AM,379.2,383.44,375.12,382.64,454087,401.8969,394.3864,395.5614,406.1756,352.5286,28.9188,386.8143,418.292,449.7697,-9.156,-4.1963
USO,1/6/2007 12:00:00 AM,379.2,383.44,375.12,382.64,454087,398.0455,387.5534,389.8593,400.133,348.4042,28.9188,381.3913,415.868,450.3447,-10.3506,-5.4271
USO,1/8/2007 12:00:00 AM,389.76,392.4,376,379.92,493700,394.4204,386.5737,389.4485,399.4308,349.3143,27.8764,376.2248,413.32,450.4152,-11.3856,-6.6188
USO,1/9/2007 12:00:00 AM,370.16,380,369.44,378.4,502475,391.2163,393.1682,395.5015,406.459,351.2752,27.2846,371.4665,410.808,450.1495,-12.1879,-7.7326
USO,1/10/2007 12:00:00 AM,373.12,374,362.24,362.24,788812,385.4211,383.0577,385.8867,396.7892,341.9867,21.9491,363.6,407.72,451.84,-13.9668,-8.9795
USO,1/11/2007 12:00:00 AM,362,369.12,352.08,354.72,1126162,379.2809,377.6474,380.1946,391.8976,332.9641,19.9901,355.1097,404.436,453.7623,-15.8012,-10.3438
USO,1/12/2007 12:00:00 AM,354.24,360,348.08,357.04,1310412,374.8327,371.0877,373.5774,386.0947,322.9881,22.2943,348.5092,401.136,453.7628,-16.8733,-11.6497
USO,1/16/2007 12:00:00 AM,353.28,355.2,343.28,347.2,1148162,369.3061,363.6702,366.8251,379.2589,316.713,19.7025,341.1621,397.004,452.8459,-18.3059,-12.981
USO,1/17/2007 12:00:00 AM,343.92,354.8,341.6,353.76,1416887,366.1969,358.8709,362.2024,374.8424,311.3049,25.8881,336.8685,392.972,449.0755,-18.6964,-14.1241
USO,1/18/2007 12:00:00 AM,354.4,356.8,340.48,345.84,1687862,362.1255,357.6746,361.2056,373.9354,310.0087,23.5313,331.3804,389,446.6196,-19.4211,-15.1835
USO,1/19/2007 12:00:00 AM,347.52,356,347.04,355.44,751812,360.7884,358.8943,362.2482,375.5261,308.792,31.6536,329.3431,385.172,441.0009,-19.0018,-15.9471
USO,1/22/2007 12:00:00 AM,358.56,364.08,347.52,350.72,1325712,358.7747,360.5174,364.5013,377.3118,313.1132,29.9681,327.7829,381.088,434.3931,-18.8332,-16.5243
USO,1/23/2007 12:00:00 AM,354.88,366.64,353.68,365.2,966187,360.0598,365.8352,369.4319,382.8131,315.6589,40.4447,328.6397,378.012,427.3843,-17.3314,-16.6857
USO,1/24/2007 12:00:00 AM,363.76,369.44,357.68,368.72,671287,361.7918,370.6387,374.2079,387.9776,318.8468,42.6892,330.4052,375.28,420.1548,-15.6764,-16.4839
USO,1/25/2007 12:00:00 AM,369.52,371.84,360.8,362,474112,361.8335,373.14,377.192,390.6614,323.1749,39.6194,331.0525,372.724,414.3955,-14.7373,-16.1346
USO,1/26/2007 12:00:00 AM,364.8,371.2,364.32,369.84,568800,363.4348,375.1592,379.4807,392.5845,327.0526,44.6227,332.8416,370.676,408.5104,-13.2081,-15.5493
USO,1/29/2007 12:00:00 AM,367.44,369.44,359.2,359.76,391225,362.6998,375.6395,380.2006,392.7137,330.2876,40.0299,334.7669,368.144,401.5211,-12.6636,-14.9721
USO,1/30/2007 12:00:00 AM,361.92,380,361.92,378.8,713337,365.9199,372.0269,376.4332,388.6614,327.7018,50.4121,339.4932,366.444,393.3948,-10.5738,-14.0925
USO,1/31/2007 12:00:00 AM,377.28,387.6,372,385.92,739012,369.9199,360.6686,357.3692,397.9912,330.6339,53.644,340.7616,365.98,391.1984,-8.248,-12.9236
USO,2/1/2007 12:00:00 AM,386,392,381.12,382.72,659725,372.4799,369.2572,365.8439,407.526,338.4779,52.0035,340.5052,366.176,391.8468,-6.5871,-11.6563
USO,2/2/2007 12:00:00 AM,385.76,394.72,380.8,394.64,586162,376.9119,377.1879,373.1632,413.2917,346.5736,57.2481,339.1106,366.776,394.4414,-4.2599,-10.177
USO,2/5/2007 12:00:00 AM,396.96,399.6,390.32,392.8,715487,380.0895,378.2391,374.2681,414.6764,347.5007,56.2268,338.1385,367.284,396.4295,-2.5348,-8.6486
USO,2/6/2007 12:00:00 AM,397.2,398.32,390.48,394,604550,382.8716,386.6491,382.2339,420.4837,356.6114,56.7685,337.0317,367.988,398.9443,-1.0586,-7.1306
USO,2/7/2007 12:00:00 AM,396.16,398.4,382.72,386,642200,383.4973,387.2183,382.5623,418.283,358.3327,52.1363,336.7307,368.368,400.0053,-0.5282,-5.8101
USO,2/8/2007 12:00:00 AM,387.92,400.16,385.04,398.16,650062,386.4298,399.2594,378.0237,415.6892,352.8046,57.7761,336.1343,370.164,404.1937,0.8634,-4.4754
USO,2/9/2007 12:00:00 AM,400.4,405.92,397.68,399.92,743312,389.1279,402.0533,379.5939,418.581,353.6747,58.5376,336.8295,372.424,408.0185,2.0843,-3.1635
USO,2/12/2007 12:00:00 AM,394.64,396.4,384.96,386.96,581175,388.6943,409.7792,389.6605,426.1975,365.0601,51.2131,338.5231,373.92,409.3169,1.9832,-2.1341
USO,2/13/2007 12:00:00 AM,389.44,399.12,388.72,394.88,333737,389.9314,399.6563,403.3323,415.9979,352.6878,54.9249,342.0216,376.304,410.5864,2.5132,-1.2046
USO,2/14/2007 12:00:00 AM,393.2,396.4,384.64,387.36,604387,389.4172,402.7106,406.4828,419.0716,356.1604,50.9604,345.0175,377.984,410.9505,2.3,-0.5037
USO,2/15/2007 12:00:00 AM,387.6,388.64,378.4,386.8,436050,388.8937,399.0871,402.9369,415.3997,353.1419,50.6671,350.3855,380.032,409.6785,2.062,0.0094
USO,2/16/2007 12:00:00 AM,389.28,396.4,388.32,394.8,365975,390.075,391.5275,395.5411,407.6664,347.1662,54.6799,353.9628,382,410.0372,2.4902,0.5056
USO,2/20/2007 12:00:00 AM,386.08,393.92,382.72,389.36,342500,389.932,384.8675,403.9409,415.682,357.1683,51.6059,359.7183,383.932,408.1457,2.3634,0.8771
